vanilla inverse
Accuracy        Recall          Specificity     Precision       FDR     F1 Score
0.76298         0.05155         0.99876         0.93253         0.06747 0.09769         Train
0.76620         0.05189         0.99886         0.93659         0.06341 0.09834         Test

ADABOOST

Accuracy        Recall          Specificity     Precision       FDR     F1 Score        mode
0.75280         0.00693         1.00000         1.00000         0.00000 0.01376         Train   5
0.75280         0.00693         1.00000         1.00000         0.00000 0.01376         Train   10
0.75280         0.00693         1.00000         1.00000         0.00000 0.01376         Train   15
0.77850         0.12786         0.99413         0.87832         0.12168 0.22323         Train   20

0.75684         0.01027         1.00000         1.00000         0.00000 0.02033         Test    5
0.75684         0.01027         1.00000         1.00000         0.00000 0.02033         Test    10
0.75684         0.01027         1.00000         1.00000         0.00000 0.02033         Test    15
0.78035         0.12595         0.99349         0.86296         0.13704 0.21981         Test    20

